pMIG_plus_1	pMIG_plus_2	pMIG_plus_3	pMIG_plus_4	pMIG_plus_5	pMIG_plus_6	pMIG_BCR_ABL_1	pMIG_BCR_ABL_2	pMIG_BCR_ABL_3	pMIG_BCR_ABL_4	pMIG_BCR_ABL_5	pMIG_BCR_ABL_6
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.09638196	0.192100719	0.123247695	0.083949661	0.566529752	0.186421955	0.450575197	0.417478277	0.060923391	0.678752516	0.670286532	0.689036096
0.060121696	0	0.051826592	0.102480496	0	0	0.053320043	0	0	0.06133451	0.049196221	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.352804844	0	0	0	0	0	0	0	0
2.235607596	2.23252876	2.401147121	2.575205819	2.733217658	1.737881415	2.224645388	2.145103523	2.268443377	1.798071258	1.931735999	1.764482044
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.101345774	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.401078839	0.14708523	0	0	0	0	0.130335882	0.105138709	0
0	0	0	0.139608322	0.048186653	0.196427011	0.239945441	0.463641288	0.150038393	0.042586628	0.033988163	0.230052955
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.052900931	0	0	0	0	0	0.062355371
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.099457612	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.546623362	0.519014447	1.010450451	0	0	0.178620317	0.159064655	0.098597424	0	0	0	0
0.329588629	0.337877756	0.411222301	0.912102572	1.221159421	0.824543846	0.1552933	0.186451115	0.399795625	0.723042113	0.995108193	0.538634506
0.998310336	1.364886149	1.777190339	1.035701321	1.321518311	1.205867911	1.726944536	1.262920188	1.336254819	1.212687613	1.128748709	1.175984402
0	0.040250981	0.122451544	0	0	0	0.043122449	0.152001651	0	0	0	0.057330762
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.091372436	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.237886728	0	0	0	0	0	0	0.039959268	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.144782544	0	0	0	0	0	0	0	0
0	0	0.074501737	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.178383205	0.283554386	0.294910656	0.126384164	0	0.365997055	0.158766152	0.079824138	0.135794492	0.075855156	0.2019161	0.208766947
0	0	0.10195176	0.370185488	0	0	0.105562899	0	0	0	0	0
0	0	0	0.096028898	0	0	0	0	0	0.057416999	0	0
0	0	0	0.190776661	0.066699834	0	0	0	0.140005085	0	0	0
0	0.048606579	0.050663563	0.281960507	0	0	0.05211355	0	0	0.117547574	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.19634517	0	0	0	0	0	0	0	0	0
4.643151983	4.312142363	4.243455829	4.598115047	4.805942451	5.104722445	4.959408509	4.776198761	4.990342265	4.65188979	5.00435307	5.011075149
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.349338099	0	0
0	0	0	0.088927604	0	0	0	0	0	0	0	0
0	0	0	0.144458882	0	0	0	0	0.29712449	0	0.070261953	0
0	0	0.039814442	0	0	0	0	0	0	0	0	0.054385212
0	0	0	0.080987501	0.01382547	0	0	0	0	0	0	0
0.095253234	0	0	0	0	0	0	0	0	0	0	0.111257985
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
2.068567635	1.867959704	1.929404713	2.434129119	2.379199514	1.993536697	1.625349987	1.825004041	2.071707761	1.902633179	1.969366028	1.936752879
0	0	0.092199183	0.178899447	0.122613618	0.107451529	0	0	0.132072584	0	0	0
0.081211579	0.022806965	0.070316092	0.093948043	0	0.080933216	0	0.029809195	0.034418439	0.028334059	0.109276837	0.126228196
0	0	0	0	0	0	0	0	0	0	0	0
0.130935349	0.304271546	0.218095454	0.113763966	0	0.066938813	0	0.140612458	0.161494313	0.068204258	0.107607799	0.356199037
0	0	0	0.175100433	0	0	0	0	0	0	0	0
1.671338668	1.534684178	1.71174598	2.057505726	1.711974991	1.64893016	0.277946672	0.466557169	0.247153414	1.736613534	1.50224912	1.686267436
0	0	0	0	0	0	0	0	0	0	0	0
0.153640633	0.106691497	0.046319086	0.132779233	0.174729822	0.078047539	0.11394595	0.057143296	0.033416235	0.053953346	0.084547895	0.151356188
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.049629374	0.098237626	0.06649209	0	0	0	0	0	0	0
0.146661738	0.102483721	0.086165394	0.044183978	0.169410669	0.025409162	0.066626686	0.054621517	0.123331007	0	0	0.030160331
0.171379787	0.142417359	0.282292711	0.245276595	0.284661001	0.17155913	0.223465799	0.183463647	0	0.089453676	0.072281864	0.103196145
1.808953367	1.819602791	1.851886934	1.191695292	1.232691452	1.015083599	0.780164772	0.847454993	0.842010142	0.554733237	0.874782804	0.321892316
0.217290284	0	0	0.187510598	0.356016442	0	0	0	0	0	0	0
6.787941727	6.853833509	6.859335994	6.643573394	6.800809324	6.525694627	6.605897265	6.591224614	6.58951333	6.444951921	6.537053734	6.550011016
0.68064482	0.89631293	0.500484931	1.416823532	0.803376672	0.567318609	0.191835499	0.176385331	0.20219703	0.364378566	0.258910826	0.413701306
0	0	0	0	0	0	0	0	0	0	0.084292764	0
0	0.077177221	0.040790615	0	0.054732501	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.970198404	1.794894086	2.03048087	0	0	0	0.236288101	0.281084548	0.169338828	0	0	0
4.240123484	4.276846503	4.339714633	4.262801452	3.998448269	4.746839437	4.75309103	4.598823717	4.592187908	4.701537968	4.605032009	4.648039705
0	0	0	0	0	0.103315944	0.091709717	0.563028258	0.546398149	0.201445671	0.084524765	0.120275756
3.672289553	3.494441213	3.508301872	3.278961582	4.235520289	3.661920579	3.058058415	2.972341586	3.051208506	3.297671257	3.17280431	3.251640329
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.02573827	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.244725127	0.286824385	0.2530102	0.332019285	0.30218216	0.198074171	0.281473929	0.067727644	0.175907779	0.19518883	0.297635164	0.327038868
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.585776913	0.749330023	0	0	0	0	0.373671595	0	0
0	0	0	0	0	0.040020871	0	0	0	0	0.064853611	0.047327727
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.684968609	0	0.227291319	0	0.152859656	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.04438013	0	0	0	0	0.016431137	0	0	0.015567504
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.216367944	1.158039667	1.1447447	0.453452258	0.260397877	0.555132921	0.902174709	1.073765403	1.153824788	0.38407855	0.231464359	0.381054074
0.053126076	0.02533545	0.039562505	0.091847667	0.009003407	0.030431431	0.410016489	0.415762992	0.522592139	0.27201602	0.32337814	0.380979848
0	0.066885373	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.052796204	0	0	0	0	0
0	0	0	0.122633496	0.042147573	0	0	0.039222356	0	0	0	0
0	0	0	0	0.14708523	0	0.058021899	0	0.081094976	0	0	0.076813956
0	0	0	0	0	0	0	0	0	0	0	0
0.184605301	0	0.081930357	0.303541131	0.394407678	0.184864238	0.084669933	0.371087087	0	0.096429056	0.222523907	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.202899114	0	0	0	0	0	0	0	0
0	0	0	0.150499888	0	0.089616111	0	0	0	0	0	0
4.241466499	4.245297895	4.501509208	4.835605798	4.959858235	3.805973396	3.493916277	3.363490706	3.502343333	3.04820828	2.932841664	3.079120357
0	0	0	0	0.293778925	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.970218287	0.975761501	0.826866938	1.479199513	1.239226937	0.579404164	0.410478963	0.525845377	0.383991213	0.322766922	0.616294642	0.576810406
0	0.03935938	0	0	0.159321757	0	0.161730348	0.051311539	0	0	0.149734115	0
0.228336019	0.190887888	0.400569625	0.261432125	0.301492829	0.262524564	0.353795266	0.127797282	0.478012968	0.337534134	0.329189054	0.225266291
0.716643289	0.757686392	0.54779035	0.621783233	0.498025126	0.876844199	0.634167599	0.53749388	0.505765958	0.506145919	0.570550364	0.620507588
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.150151505	0	0	0	0	0	0	0	0
0	0	0	0.172986676	0	0	0	0	0	0	0	0.061294274
0.068466515	0.028641144	0	0.225472377	0.20948955	0.093504739	0.109885785	0	0.116353045	0.16950688	0.187377571	0.040899162
0.841148716	0	0.528297256	0	1.12201002	0.335422656	0	0.635344854	0.715913573	0.596102193	0	0.374313938
0	0	0	0	0	0	0	0	0	0	0	0
1.935233425	1.940805718	1.962304697	1.565762881	1.733454133	1.747043604	1.126179949	0.908482452	1.000836521	1.231383253	1.065034561	0.953005922
0	0	0	0.097499691	0.016724366	0.014284399	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.049661573	0	0	0.382584257	0.165929942	0.097511827	0	0	0	0	0.080113634	0.058489678
0	0	0	0.103808872	0	0	0	0	0	0	0	0
0.050457397	0	0	0.044092748	0.114888833	0	2.755780628	2.675987509	2.458773075	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.239061924	0.22945749	0.198479067	0.261867756	0.235164575	0.179099521	0.023965984	0.014745054	0.033873457	0.055333808	0.033092822	0.016140701
3.204699465	3.236094579	3.196518919	2.788875691	2.621231374	3.082683857	2.890849385	2.801446338	2.787798107	3.027102728	2.988262949	2.898140619
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.106055194	0.139262539	0	0.067178165	0.055233144	0	0
0	0.227617869	0	0.434277535	0	0	0	0	0	0	0	0
0.227732452	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.09920497	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0.131938955	0.124841458	0.145734836	0.099864897	0.233146894	0.09506739	0.193262059	0.122802837	0.34937094	0.154006327	0.195377838	0.155128766
0	0	0	0	0	0	0	0	0	0	0	0
0.046097347	0.030062417	0.0238685	0.080616326	0.053545401	0.062941908	0.032431532	0	0	0.009604297	0.030327744	0.022099882
0.544426035	0.452499498	0.513927278	0.474672774	0.562344524	0.318151374	0.28551112	0.231896847	0.301778433	0.173222117	0.347975136	0.387889668
0	0.017326611	0	0.03638714	0	0	0.036804185	0	0	0.021576378	0.067250596	0.049199289
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.48141365	0	0	0	0	0	0	0	0
1.210650695	1.523386313	1.79911218	1.761910731	2.023141778	2.147134086	2.001953529	1.427820684	1.786721808	1.144137759	1.779583319	1.670237577
0	0	0	0	0	0	0	0	0	0	0	0
